ID	Rejec	IME	r	k20	a30	KoagRazred	Mascoba	proteini	Laktoza	SS	ZmrzTocka	Urea	SSC	KapaKazein	Datum	Z	CRE_SIFRA_CREDA	STLAKT	DAT_TELITVE	DIM
83920349	Oblak	Sidra	0	0	0	F	4.71	3.72	4.52	8.97	-0.525	11.1	2943	AB	2017-10-24	zvecer	6658	5	2017-02-17 00:00:00	249
83948864	Tajnik	Jata	0	0	0	F	4.24	3.92	4.11	8.75	-0.522	10.9	776	AB	2017-10-23	zvecer	16217	4	2016-09-01 01:00:00	417
83949810	Pececnik	Lejdi	839	98	45	A	4.88	3.24	4.6	8.57	-0.516	17.5	19	BB	2017-10-16	zjutraj	7177	4	2017-10-04 01:00:00	12
84015417	Jan	Sreca	864	115.5	38.5	A	5.2	3.34	4.54	8.61	-0.531	10.7	354	AB	2017-11-08	zjutraj	3262	3	2016-12-30 00:00:00	313
84056225	Popic	Solda	942	112	39	A	3.83	3.73	4.44	8.9	-0.524	11.8	207		2017-11-07	zjutraj	7480	3	2017-09-19 01:00:00	49
84151966	Marolt	Vila	862	108	50	A	4.72	4.13	4.37	9.23	-0.529	24.3	178	BB	2017-10-26	zvecer	5825	4	2017-04-09 01:00:00	200
84180780	Marolt	Maga	1566	120	23	F	3.93	3.9	4.43	9.07	-0.528	18.3	102	AB	2017-10-26	zvecer	5825	4	2017-02-24 00:00:00	244
84235419	Pececnik	Nona	1060	97	47	A	5.22	4.47	4.35	9.55	-0.521	9.4	54	BB	2017-10-16	zjutraj	7177	3	2016-10-22 01:00:00	359
84241311	Knez	Miss	677	95	44	A	3.74	3.12	4.75	8.6	-0.525	21.5	71		2017-11-02	zjutraj	3984	3	2017-07-29 01:00:00	96
84247764	Knez	Lisa	1075	104	39	A	2.31	3.21	4.59	8.53	-0.532	10.1	69		2017-11-02	zjutraj	3984	2	2017-04-21 01:00:00	195
84294065	Popic	Vanda	503	73	23	A	6.34	4.72	4.59	10.04	-0.522	8.5	106	AA	2017-11-07	zjutraj	7480	1	2016-12-17 00:00:00	325
84303060	Knez	Sladka	1363.5	105	32.5	B	4.88	3.27	4.81	8.82	-0.519	14.6	98		2017-11-02	zjutraj	3984	2	2017-08-11 01:00:00	83
84413482	Jan	Sivka	1441	120	21.5	B	4.71	3.64	4.74	9.11	-0.522	14.5	189	AA	2017-11-08	zjutraj	3262	1	2016-10-03 01:00:00	401
84415666	Jan	Repa	1172.5	114.5	36	B	4.68	3.39	4.6	8.72	-0.527	11.4	419	BB	2017-11-08	zjutraj	3262	1	2016-04-19 01:00:00	568
84497581	Verdel	Svila	793	97.5	47.5	A	5.68	4.52	4.47	9.73	-0.524	8	34	BB	2017-10-25	zvecer	30033	1	2017-02-21 00:00:00	246
93489054	Kramer	Muza	711	124	41	A	5.01	4.86	2.84	4.5	8.07	-0.528	14.2	AB	2017-11-08	zjutraj	4725	5	2017-06-29 01:00:00	132
93736167	Arlic	Samara	1447	118.5	28	B	3.93	3.65	4.44	8.81	-0.524	11.7	1237	AB	2017-11-09	zjutraj	178	6	2017-06-22 01:00:00	140
93749059	Lesjak	Drca	839	98	45	A	3.8	3.45	4.29	8.47	-0.518	17.7	140	BB	2017-10-18	zjutraj	5347	5	2017-09-20 01:00:00	28
93863010	Verdev	Lima	570	133	48	D	1.6	3.14	4.67	8.54	-0.519	4.8	43		2017-10-26	zjutraj	9624	5	2016-10-17 01:00:00	374
93943631	Arlic	Sliva	983.5	110.5	38	A	3.6	3.74	4.17	8.64	-0.524	8.9	247	AB	2017-11-09	zjutraj	178	4	2017-03-03 00:00:00	251
93945121	Kramer	Bilka	1151.5	122	36.5	B	3.94	3.83	2.91	4.73	8.37	-0.516	14.8	AB	2017-11-08	zjutraj	4725	5	2017-10-12 01:00:00	27
94018684	Arlic	Salva	1441.5	134	30	B	3.5	3.64	4.34	8.7	-0.52	9.8	1293	AB	2017-11-09	zjutraj	178	4	2017-03-20 00:00:00	234
94038060	Popic	Sreca	978	106	40	A	5.05	4.14	4.54	9.4	-0.528	14.1	1653	AB	2017-11-07	zjutraj	7480	3	2016-12-04 00:00:00	338
94158890	Rakun	Sana	959	104	44	A	6.01	4.06	4.51	9.3	-0.516	16.4	59	AB	2017-11-06	zjutraj	7871	3	2017-08-17 01:00:00	81
94243020	Marolt	Brina	1006	102	42	A	4.34	4	4.62	9.34	-0.524	29.1	70	BB	2017-10-26	zvecer	5825	3	2017-06-10 01:00:00	138
94244832	Marolt	Baja	967	95	44	A	4.56	4.01	4.88	9.61	-0.536	25.4	228	BB	2017-10-26	zvecer	5825	2	2017-03-09 00:00:00	231
94294095	Popic	Murva	1110	112	42	B	5.16	4.03	4.68	9.44	-0.532	14	52	BB	2017-11-07	zjutraj	7480	2	2017-07-23 01:00:00	107
94422300	Tajnik	Beka	1311.5	99.5	28.5	B	5.6	3.67	4.5	8.9	-0.515	10.3	10	BB	2017-10-23	zvecer	16217	1	2017-01-19 00:00:00	277
94546880	Verdel	Linda	1075.5	110.5	36	B	4.71	3.72	4.52	8.97	-0.525	11.1	2943	cb	2017-10-25	zvecer	30033	1	2017-07-04 01:00:00	113
