Rejec,ID,IME,r,k20,a30,KoagRazred,Mascoba,proteini,Laktoza,SS,ZmrzTocka,Urea,SSC,KapaKazein
Arlic,34024719,Senka,610,98,48,D,4.41,3.42,4.68,8.83,-0.523,13.1,21,BB
Popic,34038059,Sreda,709.5,95.5,38,A,4.15,3.11,4.81,8.65,-0.528,8.5,147,BB
Popic,34056220,Saša,1227.5,123.5,39,B,2.95,3.77,4.55,9.06,-0.52,8.4,170,BB
Kramer,34101502,Sivka,680.5,104.5,46,A,4.59,4.46,3.44,4.64,8.81,-0.531,16,BB
Tajnik,34184514,Bata,806,130,48,A,3.86,3.11,4.55,8.39,-0.522,15.2,59,AB
Knez,34184590,Smrketa,1365,110,29,B,4.37,3.05,4.69,8.48,-0.523,31.3,99,
Popic,34294046,Sloka,551,106,49.5,D,4.5,4.11,4.44,9.27,-0.528,10.9,170,BB
Popic,34294060,Maxima,655.5,105,46.5,D,4.22,3.41,4.76,8.9,-0.521,16.4,40,BB
Jan,34297953,Reka,687,103,44,A,4.72,3.38,4.39,8.5,-0.525,9,116,BB
Verdel,34418822,Struna,732,98,49,A,5.47,4.46,4.36,9.55,-0.518,3,3391,AB
Verdel,34496011,Sova,990,103,43,A,5.32,3.94,4.55,9.22,-0.525,5.5,148,AA
Marolt,34505449,Prada,793,98,49,A,4.82,4.74,4.74,10.2,-0.536,30.9,62,AB
Kramer,43529007,Slina,847,105,41,A,4.37,4.24,3.8,4.59,9.12,-0.535,15.8,BB
Lesjak,43611320,Mravlja,1089,103,43,B,4.29,3.99,4.5,9.22,-0.518,27.2,233,BB
Vasle,43653177,Dora,1519.5,127.5,22,F,4.54,3.28,4.22,8.24,-0.517,11.2,42,BB
Vasle,43875418,Mica,877,114,40,A,3.66,3.18,4.66,8.57,-0.518,15.3,115,BB
Arlic,43918270,Hitra,502,256,46,D,4.39,3.87,4.49,9.09,-0.52,9.6,261,AB
Pececnik,43995444,Sidra,0,0,0,F,4.44,3.94,4.2,8.87,-0.522,17,524,BB
